,Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Condition,Mileage,Region,Price,Negotiable
20,Nissan,Patrol,2016,Saudi,White,Standard,4.8,Gas,Automatic,Used,93000,Jeddah,83000,False
21,Toyota,Prado,2021,Saudi,White,Semi Full,4.0,Gas,Automatic,Used,3000,Dammam,174000,False
22,Hyundai,Elantra,2018,Other,White,Standard,1.6,Diesel,Automatic,Used,83000,Riyadh,50000,False
23,Honda,Civic,2017,Saudi,Black,Standard,1.5,Gas,Automatic,Used,200000,Jeddah,38000,False
24,Toyota,Furniture,2021,Saudi,White,Semi Full,2.4,Diesel,Automatic,Used,29000,Qassim,145000,False
25,Lexus,RX,2019,Saudi,Bronze,Full,3.5,Gas,Automatic,Used,129000,Jeddah,178000,False
26,Land Rover,Range Rover,2014,Saudi,Black,Full,3.0,Gas,Automatic,Used,80000,Makkah,230000,False
27,Toyota,Camry,2019,Saudi,Red,Full,2.5,Gas,Automatic,Used,8000,Makkah,Negotiable,True
28,GMC,Yukon,2017,Saudi,Silver,Standard,5.3,Gas,Automatic,Used,137317,Dammam,130000,False
29,Toyota,Avalon,2008,Other,Red,Full,,Gas,Automatic,Used,169000,Riyadh,Negotiable,True
30,Nissan,Bus Urvan,2020,Saudi,White,Standard,3.5,Gas,Manual,Used,27000,Riyadh,68000,False
31,Toyota,Aurion,2015,Saudi,White,Semi Full,2.6,Gas,Automatic,Used,300,Jazan,50000,False
32,Nissan,Sunny,2019,Saudi,White,Standard,1.5,Gas,Automatic,Used,112963,Riyadh,27500,False
33,Hyundai,Elantra,2019,Saudi,Silver,Standard,1.6,Gas,Automatic,Used,108650,Riyadh,43000,False
34,Chevrolet,Malibu,2013,Saudi,Black,Semi Full,3.0,Gas,Automatic,Used,122455,Riyadh,36000,False
35,Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,Used,93762,Riyadh,26800,False
36,Toyota,Rav4,2020,Gulf Arabic,White,Full,2.5,Gas,Automatic,Used,15000,Dammam,111000,False
37,Mazda,CX9,2019,Saudi,Another Color,Full,2.5,Gas,Automatic,Used,89000,Riyadh,99000,False
38,Ford,Expedition,2013,Saudi,Black,Standard,5.4,Gas,Automatic,Used,348000,Riyadh,50000,False
39,GMC,Yukon,2008,Saudi,Golden,Full,5.3,Gas,Automatic,Used,286000,Riyadh,48000,False
40,Toyota,Camry,2020,Saudi,Silver,Standard,2.5,Hybrid,Automatic,Used,46000,Riyadh,75000,False
41,Lexus,ES,2015,Saudi,White,Full,3.5,Gas,Automatic,Used,85000,Riyadh,80000,False
42,Toyota,Land Cruiser,1993,Saudi,Bronze,Semi Full,,Gas,Manual,Used,400,Tabouk,12000,False
43,Kia,Cadenza,2017,Saudi,Another Color,Standard,3.5,Gas,Automatic,Used,115000,Riyadh,55000,False
44,Hyundai,Tucson,2016,Saudi,White,Semi Full,2.0,Gas,Automatic,Used,157000,Riyadh,50000,False
45,Hyundai,Tucson,2019,Saudi,Silver,Semi Full,2.0,Gas,Automatic,Used,24000,Riyadh,68000,False
46,Genesis,Platinum,2015,Saudi,Another Color,Semi Full,3.5,Gas,Automatic,Used,181000,Riyadh,70000,False
47,Genesis,G80,2019,Saudi,White,Semi Full,3.8,Gas,Automatic,Used,84000,Riyadh,120000,False
48,Toyota,Prado,2016,Saudi,White,Semi Full,4.0,Gas,Automatic,Used,201000,Riyadh,108000,False
49,GMC,Yukon,2009,Saudi,Golden,Standard,5.3,Gas,Automatic,Used,395000,Riyadh,43000,False
50,Toyota,Rav4,2016,Saudi,White,Full,2.5,Gas,Automatic,Used,363000,Riyadh,58000,False
51,Hyundai,Accent,2020,Saudi,Another Color,Standard,1.4,Gas,Automatic,Used,2000,Riyadh,42000,False
52,Lexus,ES,2013,Saudi,Black,Full,3.5,Gas,Automatic,Used,349000,Riyadh,70000,False
53,Hyundai,Sonata,2019,Saudi,Grey,Semi Full,2.4,Gas,Automatic,Used,78000,Riyadh,62000,False
54,Genesis,G80,2018,Saudi,Another Color,Semi Full,3.8,Gas,Automatic,Used,75000,Riyadh,110000,False
55,Honda,Accord,2016,Saudi,Another Color,Full,3.5,Gas,Automatic,Used,350000,Riyadh,50000,False
56,Genesis,G80,2018,Saudi,Another Color,Semi Full,3.8,Gas,Automatic,Used,127000,Riyadh,93000,False
57,Lexus,LX,2015,Saudi,White,Full,5.7,Gas,Automatic,Used,247000,Riyadh,165000,False
58,Nissan,Patrol,2012,Saudi,White,Semi Full,5.6,Gas,Automatic,Used,381000,Riyadh,75000,False
59,GMC,Yukon,2008,Saudi,Another Color,Full,5.3,Gas,Automatic,Used,382000,Riyadh,45000,False
60,Hyundai,Senta fe,2021,Saudi,Navy,Semi Full,,Gas,Automatic,Used,2200,Riyadh,Negotiable,True
61,Lexus,GX,2015,Saudi,White,Full,4.6,Gas,Automatic,Used,146000,Riyadh,126000,False
62,Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,Used,87537,Riyadh,26800,False
63,Nissan,Sunny,2019,Saudi,White,Standard,1.5,Gas,Automatic,Used,99104,Riyadh,26800,False
64,Nissan,Sunny,2019,Saudi,Grey,Standard,1.5,Gas,Automatic,Used,106007,Riyadh,26800,False
65,Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,Used,88564,Riyadh,26800,False
66,Hyundai,Azera,2016,Saudi,Grey,Semi Full,3.5,Gas,Automatic,Used,166000,Riyadh,47000,False
67,Honda,Accord,2015,Saudi,Golden,Semi Full,2.4,Gas,Automatic,Used,196000,Riyadh,59000,False
68,Genesis,G80,2018,Saudi,Silver,Semi Full,3.8,Gas,Automatic,Used,70000,Riyadh,110000,False
69,Chevrolet,Tahoe,2014,Saudi,Brown,Semi Full,5.3,Gas,Automatic,Used,382000,Riyadh,60000,False
70,Cadillac,CT-S,2010,Saudi,Another Color,Full,3.6,Gas,Automatic,Used,240000,Riyadh,32000,False
71,Toyota,Prado,2013,Saudi,Another Color,Full,3.8,Gas,Automatic,Used,108000,Riyadh,87000,False
72,Geely,EC7,2014,Saudi,Golden,Full,,Gas,Manual,Used,161300,Riyadh,12000,False
73,MG,ZS,2019,Saudi,Black,Semi Full,1.5,Gas,Automatic,Used,23000,Riyadh,47000,False
74,Lexus,ES,2019,Saudi,Another Color,Full,,Gas,Automatic,Used,26000,Jeddah,207000,False
75,Hyundai,Kona,2019,Saudi,Blue,Standard,2.0,Gas,Automatic,Used,19000,Riyadh,59000,False
76,Jeep,Grand Cherokee,2014,Saudi,Black,Full,5.7,Gas,Automatic,Used,120000,Riyadh,85000,False
77,GMC,Yukon,2016,Gulf Arabic,White,Semi Full,,Gas,Automatic,Used,63000,Riyadh,140000,False
78,Kia,Optima,2018,Saudi,Brown,Standard,2.0,Gas,Automatic,Used,11000,Riyadh,Negotiable,True
79,Honda,Accord,2015,Gulf Arabic,Grey,Standard,2.4,Gas,Automatic,Used,221000,Riyadh,48000,False
80,Mercedes,S,2006,Other,White,Semi Full,4.3,Gas,Automatic,Used,235115,Riyadh,15000,False
81,INFINITI,M,2007,Saudi,Black,Full,4.5,Gas,Automatic,Used,303000,Riyadh,10000,False
82,Dodge,Charger,2018,Saudi,Another Color,Full,5.7,Gas,Automatic,Used,85000,Aseer,130000,False
83,Mercedes,S,2018,Saudi,Grey,Full,,Gas,Automatic,Used,73000,Riyadh,345000,False
84,Ford,Taurus,2018,Saudi,White,Standard,2.0,Gas,Automatic,Used,82000,Riyadh,77000,False
85,Mercedes,E,2014,Gulf Arabic,White,Standard,2.0,Gas,Automatic,Used,49000,Dammam,75000,False
86,Lexus,LX,2015,Saudi,White,Full,5.7,Gas,Automatic,Used,108020,Riyadh,Negotiable,True
87,Lexus,GX,2018,Gulf Arabic,White,Semi Full,4.6,Gas,Automatic,Used,53190,Riyadh,Negotiable,True
88,Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,Used,105739,Riyadh,26800,False
89,Nissan,Sunny,2019,Saudi,White,Standard,1.5,Gas,Automatic,Used,55526,Riyadh,27500,False
90,Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,Used,98659,Riyadh,27500,False
91,Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,Used,95623,Riyadh,27500,False
92,Hyundai,Elantra,2019,Saudi,Grey,Semi Full,1.6,Gas,Automatic,Used,86000,Dammam,54000,False
93,Toyota,Yaris,2018,Saudi,White,Standard,1.5,Gas,Automatic,Used,128000,Jeddah,32000,False
94,Nissan,Patrol,1992,Saudi,White,Standard,4.6,Gas,Manual,Used,357000,Dammam,27000,False
95,Ferrari,GTB 599 Fiorano,2008,Saudi,Red,Full,6.0,Gas,Automatic,Used,59000,Dammam,280000,False
96,Chevrolet,Suburban,2015,Other,Black,Full,5.3,Gas,Automatic,Used,189000,Riyadh,Negotiable,True
97,Mercedes,CLA,2020,Other,Black,Full,,Gas,Automatic,Used,15000,Riyadh,410000,False
98,Mercedes,E,2017,Gulf Arabic,White,Full,2.0,Gas,Automatic,Used,98000,Dammam,210000,False
99,Hyundai,Accent,2019,Saudi,White,Standard,1.4,Gas,Automatic,Used,101000,Jeddah,37000,False
100,Mazda,CX9,2017,Other,Grey,Full,2.5,Gas,Automatic,Used,93000,Dammam,111000,False
101,Genesis,Royal,2015,Saudi,Red,Full,3.8,Gas,Automatic,Used,194000,Riyadh,85000,False
102,Toyota,Corolla,2015,Saudi,Silver,Standard,1.6,Gas,Automatic,Used,176277,Dammam,37000,False
103,Kia,Picanto,2015,Saudi,Another Color,Standard,1.0,Gas,Automatic,Used,133000,Al-Medina,18500,False
104,Great Wall,Power,2021,Saudi,White,Full,2.0,Gas,Automatic,Used,4000,Al-Medina,95000,False
105,Nissan,Datsun,2015,Saudi,White,Full,,Gas,Manual,Used,212000,Riyadh,42000,False
106,Jaguar,F-Pace,2018,Saudi,White,Full,2.5,Gas,Automatic,Used,70000,Jeddah,145000,False
107,Toyota,Hilux,2016,Saudi,White,Full,2.7,Gas,Manual,Used,28000,Dammam,95000,False
108,Toyota,Furniture,2019,Saudi,White,Standard,2.7,Gas,Automatic,Used,113000,Riyadh,105000,False
109,Toyota,FJ,2017,Saudi,White,Full,4.0,Gas,Automatic,Used,144000,Makkah,Negotiable,True
110,Ford,Expedition,2016,Saudi,White,Full,3.5,Gas,Automatic,Used,104000,Dammam,95000,False
111,Honda,Accord,2019,Gulf Arabic,Silver,Full,1.5,Gas,Automatic,Used,8200,Dammam,107000,False
112,Chevrolet,Suburban,2001,Other,Grey,Semi Full,,Gas,Automatic,Used,500000,Riyadh,15000,False
113,Ford,Explorer,2016,Gulf Arabic,Red,Full,,Gas,Automatic,Used,93000,Riyadh,95000,False
114,Toyota,Land Cruiser,2015,Saudi,White,Full,5.7,Gas,Automatic,Used,242,Hail,Negotiable,True
115,Toyota,Land Cruiser 70,1982,Saudi,Another Color,Standard,,Gas,Manual,Used,200000,Makkah,Negotiable,True
116,Toyota,Land Cruiser,2016,Saudi,White,Full,5.7,Gas,Automatic,Used,64731,Riyadh,Negotiable,True
117,Lexus,LX,2020,Gulf Arabic,Black,Full,5.7,Gas,Automatic,Used,27000,Riyadh,418000,False
118,Hyundai,Elantra,2019,Saudi,White,Standard,1.6,Gas,Automatic,Used,120496,Riyadh,40800,False
119,Hyundai,Elantra,2019,Saudi,Silver,Standard,1.6,Gas,Automatic,Used,120244,Riyadh,43000,False
120,Hyundai,Accent,2014,Saudi,Black,Standard,1.4,Gas,Automatic,Used,101231,Riyadh,21500,False
121,Nissan,Sunny,2017,Saudi,White,Standard,1.5,Gas,Automatic,Used,106646,Riyadh,22500,False
122,Toyota,Prado,2018,Saudi,White,Full,,Gas,Automatic,Used,47000,Qassim,Negotiable,True
123,Ford,Expedition,2017,Gulf Arabic,White,Full,,Gas,Automatic,Used,34000,Riyadh,108000,False
124,Land Rover,Range Rover,2009,Saudi,Black,Full,,Gas,Automatic,Used,195000,Jeddah,45000,False
125,Hyundai,Elantra,2018,Saudi,Brown,Semi Full,1.6,Gas,Automatic,Used,81000,Riyadh,44000,False
126,Hyundai,Sonata,2018,Saudi,Silver,Semi Full,2.4,Gas,Automatic,Used,99000,Riyadh,62000,False
127,Dodge,Charger,2016,Saudi,Grey,Standard,1.0,Gas,Automatic,Used,151000,Riyadh,69000,False
128,Kia,Cadenza,2018,Saudi,Brown,Standard,1.0,Gas,Automatic,Used,74000,Riyadh,60000,False
129,Toyota,Furniture,2019,Saudi,White,Full,3.5,Gas,Automatic,Used,40000,Riyadh,120000,False
130,Hyundai,Accent,2018,Saudi,White,Standard,1.4,Gas,Automatic,Used,78000,Riyadh,36000,False
131,Hyundai,Sonata,2013,Saudi,White,Full,2.4,Gas,Automatic,Used,205000,Riyadh,40000,False
132,Toyota,FJ,2013,Saudi,Bronze,Full,1.0,Gas,Automatic,Used,296000,Riyadh,79000,False
133,Kia,Cadenza,2017,Saudi,Grey,Full,3.5,Gas,Automatic,Used,179000,Riyadh,73000,False
134,Hyundai,Elantra,2018,Saudi,White,Semi Full,2.0,Gas,Automatic,Used,88000,Riyadh,44000,False
135,Hyundai,Elantra,2018,Saudi,Grey,Semi Full,1.6,Gas,Automatic,Used,96000,Riyadh,47000,False
136,Genesis,G80,2019,Saudi,Silver,Semi Full,3.8,Gas,Automatic,Used,66000,Riyadh,120000,False
137,Hyundai,Sonata,2014,Saudi,White,Semi Full,2.4,Gas,Automatic,Used,216000,Riyadh,41000,False
138,Toyota,Camry,2016,Saudi,White,Full,1.0,Gas,Automatic,Used,244000,Riyadh,59000,False
139,Genesis,Royal,2016,Saudi,White,Full,3.8,Gas,Automatic,Used,55000,Riyadh,95000,False
140,Toyota,FJ,2015,Saudi,White,Full,1.0,Gas,Automatic,Used,190000,Riyadh,98000,False
141,Hyundai,Senta fe,2018,Saudi,White,Standard,3.3,Gas,Automatic,Used,41542,Riyadh,69000,False
142,Kia,Optima,2017,Saudi,Black,Semi Full,2.4,Gas,Automatic,Used,245000,Riyadh,45000,False
143,Genesis,Royal,2018,Saudi,Grey,Full,3.8,Gas,Automatic,Used,78000,Riyadh,110000,False
144,Kia,Cadenza,2015,Saudi,Grey,Standard,3.5,Gas,Automatic,Used,180000,Riyadh,57000,False
145,GAC,GS8,2020,Saudi,Blue,Full,2.0,Gas,Automatic,Used,29200,Jeddah,80000,False
146,Toyota,Furniture,2017,Saudi,White,Semi Full,,Gas,Automatic,Used,400000,Riyadh,60000,False
147,Nissan,Sunny,2018,Saudi,White,Standard,1.5,Gas,Automatic,Used,108708,Riyadh,24000,False
148,Nissan,Sunny,2018,Saudi,Silver,Standard,1.5,Gas,Automatic,Used,124758,Riyadh,24000,False
149,Nissan,Sunny,2017,Saudi,Black,Standard,1.5,Gas,Automatic,Used,158218,Riyadh,24500,False
150,Kia,Cadenza,2017,Saudi,Silver,Standard,3.3,Gas,Automatic,Used,83000,Riyadh,50000,False
151,Nissan,Maxima,2017,Saudi,Grey,Full,1.0,Gas,Automatic,Used,860000,Riyadh,77000,False
152,Hyundai,Azera,2018,Saudi,Brown,Semi Full,3.5,Gas,Automatic,Used,79000,Riyadh,75000,False
153,Genesis,G80,2018,Saudi,White,Semi Full,3.8,Gas,Automatic,Used,97000,Riyadh,98000,False
154,Kia,Cadenza,2016,Saudi,White,Standard,3.3,Gas,Automatic,Used,122000,Riyadh,50000,False
155,Hyundai,Azera,2017,Saudi,White,Full,3.0,Gas,Automatic,Used,168000,Riyadh,55000,False
156,Nissan,Maxima,2017,Saudi,Brown,Semi Full,1.0,Gas,Automatic,Used,121000,Riyadh,64000,False
157,Toyota,Land Cruiser,2015,Saudi,White,Full,1.0,Gas,Automatic,Used,300000,Riyadh,135000,False
158,Chevrolet,Caprice,2015,Saudi,Black,Standard,6.0,Gas,Automatic,Used,264000,Riyadh,69000,False
159,Dodge,Challenger,2017,Other,White,Full,3.6,Gas,Automatic,Used,113000,Dammam,99000,False
160,Honda,Accord,2018,Gulf Arabic,Golden,Full,2.4,Gas,Automatic,Used,75000,Dammam,92000,False
161,Lexus,ES,2016,Other,Bronze,Semi Full,3.5,Gas,Automatic,Used,88000,Dammam,115000,False
162,Nissan,Datsun,2015,Saudi,White,Semi Full,2.0,Gas,Manual,Used,182000,Dammam,29000,False
163,Chevrolet,Camaro,2016,Other,Red,Full,3.6,Gas,Automatic,Used,94000,Dammam,106000,False
164,Genesis,G80,2020,Saudi,Grey,Semi Full,3.8,Gas,Automatic,Used,11000,Riyadh,125000,False
165,Ford,Taurus,2018,Other,Black,Full,,Gas,Automatic,Used,100000,Dammam,89000,False
166,Ford,Taurus,2015,Other,Black,Semi Full,,Gas,Automatic,Used,103000,Dammam,78000,False
167,Hyundai,Tucson,2019,Saudi,White,Semi Full,1.0,Gas,Automatic,Used,67000,Riyadh,75000,False
168,Kia,Cadenza,2018,Saudi,Silver,Standard,3.3,Gas,Automatic,Used,94000,Riyadh,55000,False
169,Hyundai,Elantra,2019,Saudi,Grey,Standard,2.0,Gas,Automatic,Used,95000,Riyadh,52000,False
170,Hyundai,Accent,2017,Saudi,Grey,Semi Full,1.4,Gas,Automatic,Used,147000,Riyadh,29000,False
171,Genesis,Royal,2016,Saudi,White,Full,3.8,Gas,Automatic,Used,140000,Riyadh,88000,False
172,GMC,Yukon,2016,Saudi,Bronze,Full,6.2,Gas,Automatic,Used,152000,Riyadh,122000,False
173,Toyota,Land Cruiser,2018,Gulf Arabic,Black,Full,5.7,Gas,Automatic,Used,61312,Riyadh,270000,False
174,Nissan,Sunny,2017,Saudi,Grey,Standard,1.5,Gas,Automatic,Used,152973,Riyadh,24500,False
175,Renault,Symbol,2020,Saudi,White,Standard,1.6,Gas,Automatic,Used,46505,Riyadh,26000,False
176,Renault,Fluence,2015,Saudi,Grey,Semi Full,1.6,Gas,Automatic,Used,116633,Riyadh,25500,False
177,Nissan,Sunny,2018,Saudi,White,Standard,1.5,Gas,Automatic,Used,90418,Riyadh,25500,False
178,Mazda,6,2019,Saudi,Brown,Standard,2.5,Gas,Automatic,Used,129000,Riyadh,65000,False
179,Hyundai,Elantra,2014,Saudi,Grey,Full,2.0,Gas,Automatic,Used,119000,Riyadh,33000,False
180,Honda,Accord,2017,Saudi,White,Semi Full,2.5,Gas,Automatic,Used,173000,Riyadh,68000,False
181,MG,RX5,2018,Saudi,White,Full,3.0,Gas,Automatic,Used,109000,Riyadh,49000,False
182,Toyota,Land Cruiser,2012,Saudi,Grey,Full,1.0,Gas,Automatic,Used,448000,Riyadh,109000,False
183,Ford,Taurus,2016,Saudi,Another Color,Standard,3.5,Gas,Automatic,Used,136000,Riyadh,58000,False
184,Genesis,G80,2018,Saudi,Another Color,Semi Full,3.8,Gas,Automatic,Used,97000,Riyadh,98000,False
185,Toyota,FJ,2015,Saudi,White,Full,4.0,Gas,Automatic,Used,259880,Riyadh,89000,False
186,Kia,Cadenza,2019,Saudi,Brown,Standard,3.3,Gas,Automatic,Used,73000,Riyadh,65000,False
187,GMC,Yukon,2011,Saudi,Silver,Semi Full,1.0,Gas,Automatic,Used,600000,Riyadh,36000,False
188,MG,ZS,2020,Saudi,Blue,Standard,1.5,Gas,Automatic,Used,9300,Taef,Negotiable,True
189,Hyundai,Kona,2019,Saudi,Grey,Full,1.0,Gas,Automatic,Used,22000,Riyadh,77000,False
190,Toyota,Avalon,2016,Other,White,Semi Full,3.5,Gas,Automatic,Used,123000,Riyadh,93000,False
191,Dodge,Charger,2018,Saudi,Red,Standard,3.6,Gas,Automatic,Used,79000,Riyadh,79000,False
192,Hyundai,Senta fe,2016,Saudi,Brown,Semi Full,3.3,Gas,Automatic,Used,126000,Riyadh,63000,False
193,Toyota,FJ,2013,Saudi,Bronze,Semi Full,1.0,Gas,Automatic,Used,154000,Riyadh,77000,False
194,Chrysler,C300,2017,Saudi,Grey,Full,5.7,Gas,Automatic,Used,130000,Riyadh,88000,False
195,Kia,Optima,2018,Saudi,Grey,Standard,2.4,Gas,Automatic,Used,40000,Riyadh,55000,False
196,Hyundai,Azera,2016,Saudi,White,Semi Full,3.0,Gas,Automatic,Used,130000,Riyadh,50000,False
197,Suzuki,APV,2016,Saudi,Black,Standard,1.5,Gas,Manual,Used,110000,Riyadh,29500,False
198,Honda,Accord,2016,Saudi,Brown,Full,1.0,Gas,Automatic,Used,116000,Riyadh,62000,False
199,Peugeot,3008,2018,Saudi,Brown,Full,1.0,Gas,Automatic,Used,30000,Riyadh,79000,False
200,Kia,Cadenza,2016,Saudi,White,Standard,3.3,Gas,Automatic,Used,145000,Riyadh,63000,False
201,Cadillac,SRX,2016,Saudi,Black,Full,,Gas,Automatic,Used,83000,Riyadh,70000,False
202,Kia,Cerato,2019,Saudi,White,Standard,1.6,Gas,Automatic,Used,43629,Jeddah,43500,False
203,Nissan,Sunny,2018,Saudi,Silver,Standard,1.5,Gas,Automatic,Used,106036,Riyadh,25900,False
204,Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,Used,104688,Riyadh,26000,False
205,Nissan,Sunny,2019,Saudi,Grey,Standard,1.5,Gas,Automatic,Used,86754,Riyadh,26000,False
206,Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,Used,105509,Riyadh,26000,False
207,Chevrolet,Traverse,2017,Saudi,Silver,Semi Full,2.4,Gas,Automatic,Used,110000,Riyadh,49000,False
208,Honda,Accord,2017,Saudi,White,Standard,1.0,Gas,Automatic,Used,63000,Riyadh,88000,False
209,Genesis,G80,2017,Saudi,Grey,Semi Full,3.8,Gas,Automatic,Used,183000,Riyadh,85000,False
210,Ford,Marquis,2010,Saudi,Blue,Standard,,Gas,Automatic,Used,290,Taef,Negotiable,True
211,Honda,Accord,2012,Saudi,White,Standard,1.0,Gas,Automatic,Used,251000,Riyadh,38000,False
212,Hyundai,Sonata,2018,Saudi,Red,Standard,2.5,Gas,Automatic,Used,63000,Riyadh,58000,False
213,Kia,Optima,2016,Saudi,Black,Semi Full,2.4,Gas,Automatic,Used,91000,Riyadh,45000,False
214,Toyota,Innova,2017,Saudi,White,Full,,Gas,Automatic,Used,180000,Makkah,Negotiable,True
215,Hyundai,Sonata,2018,Saudi,Brown,Standard,1.0,Gas,Automatic,Used,130000,Riyadh,50000,False
216,GMC,Sierra,2011,Other,Silver,Semi Full,,Gas,Automatic,Used,258000,Riyadh,50000,False
217,Honda,Accord,2017,Saudi,Grey,Semi Full,1.0,Gas,Automatic,Used,126000,Riyadh,75000,False
218,Mercedes,S,2007,Saudi,Black,Full,3.5,Gas,Automatic,Used,243000,Riyadh,45000,False
219,Ford,F150,2012,Saudi,Black,Standard,3.0,Gas,Automatic,Used,352000,Riyadh,38000,False
220,Toyota,Land Cruiser,2003,Saudi,Golden,Full,,Gas,Automatic,Used,629000,Riyadh,40000,False
221,Nissan,Maxima,2017,Saudi,White,Full,1.0,Gas,Automatic,Used,135000,Riyadh,73000,False
222,Toyota,Land Cruiser,2014,Saudi,White,Full,4.0,Gas,Automatic,Used,210600,Riyadh,120000,False
223,Hyundai,Sonata,2016,Saudi,Brown,Full,2.0,Gas,Automatic,Used,104000,Riyadh,58000,False
224,Ford,Explorer,2016,Gulf Arabic,Silver,Semi Full,,Gas,Automatic,Used,112000,Riyadh,83000,False
225,Hyundai,Genesis,2017,Other,Blue,Standard,3.8,Gas,Automatic,Used,128000,Riyadh,83000,False
226,Toyota,Corolla,2015,Saudi,White,Semi Full,1.6,Gas,Automatic,Used,370000,Riyadh,30000,False
227,Honda,Accord,2017,Saudi,Navy,Semi Full,2.4,Gas,Automatic,Used,223000,Riyadh,75000,False
228,Kia,Cerato,2017,Saudi,White,Standard,1.6,Gas,Automatic,Used,72000,Riyadh,37500,False
229,Ford,Taurus,2018,Saudi,White,Standard,2.0,Gas,Automatic,Used,71000,Riyadh,77000,False
230,Lexus,NX,2017,Gulf Arabic,Black,Full,2.0,Gas,Automatic,Used,63000,Dammam,174000,False
231,Hyundai,Elantra,2019,Saudi,White,Semi Full,1.6,Gas,Automatic,Used,59700,Dammam,54500,False
232,Hyundai,Senta fe,2020,Saudi,Grey,Standard,2.4,Gas,Automatic,Used,93000,Riyadh,82000,False
233,Mercedes,C,2015,Saudi,Silver,Semi Full,2.0,Gas,Automatic,Used,73000,Riyadh,90000,False
234,Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,Used,96341,Riyadh,26000,False
235,Nissan,Sunny,2019,Saudi,White,Standard,1.5,Gas,Automatic,Used,87775,Riyadh,26000,False
236,Nissan,Sunny,2019,Saudi,White,Standard,1.5,Gas,Automatic,Used,89136,Riyadh,26000,False
237,Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,Used,71913,Riyadh,26500,False
238,MG,RX5,2019,Saudi,White,Full,1.5,Gas,Automatic,Used,39000,Jeddah,56000,False
239,Genesis,G70,2019,Saudi,Grey,Semi Full,2.0,Gas,Automatic,Used,11000,Riyadh,109000,False
240,Ford,Flex,2012,Saudi,Silver,Semi Full,3.5,Gas,Automatic,Used,277000,Dammam,30000,False
241,GMC,Yukon,2015,Saudi,White,Full,5.3,Gas,Automatic,Used,200000,Dammam,150000,False
242,GMC,Yukon,2016,Other,White,Full,6.2,Gas,Automatic,Used,126000,Riyadh,176000,False
243,Mercedes,E,2021,Other,White,Standard,,Gas,Automatic,Used,4000,Riyadh,259000,False
